time,1,2,3,4,5,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
100,a,c,b,d,a,0,0,0,0,0,0,0,0,0,0,0,0
99,a,c,b,d,a,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0
98,a,c,d,b,a,0.0,1.71,0.0,0.0,0.0,1.71,0.0,1.71,0.0,1.71,0.0,0.0
97,a,c,d,b,a,0.0,6.039,0.0,4.5,0.0,1.539,0.0,1.539,4.5,1.539,4.5,0.0
96,a,c,d,b,a,0.0,9.9351,0.0,8.55,0.0,1.3851,0.0,1.3851,8.55,1.3851,8.55,0.0
95,a,c,d,b,a,0.0,13.44159,0.0,12.195,0.0,1.24659,0.0,1.24659,12.195,1.24659,12.195,0.0
94,a,c,d,b,a,0.0,16.597431,0.0,15.4755,0.0,1.121931,0.0,1.121931,15.4755,1.121931,15.4755,0.0
93,a,c,b,d,a,0.0,19.4376879,0.0,18.42795,0.0,1.0097379,0.0,1.0097379,18.42795,1.0097379,18.42795,0.0
92,a,c,b,d,a,0.0,18.393919110000002,0.0,16.585155,0.0,1.8087641100000003,0.0,1.8087641100000003,16.585155,1.8087641100000003,16.585155,0.0
91,a,c,b,d,a,0.0,17.454527199,0.0,14.9266395,0.0,2.5278876990000003,0.0,2.5278876990000003,14.9266395,2.5278876990000003,14.9266395,0.0
90,a,c,d,b,a,0.0,16.609074479100002,0.0,13.433975550000001,0.0,3.1750989291000002,0.0,3.1750989291000002,13.433975550000001,3.1750989291000002,13.433975550000001,0.0
89,a,c,d,b,a,0.0,19.448167031190003,0.0,16.590577995,0.0,2.8575890361900003,0.0,2.8575890361900003,16.590577995,2.8575890361900003,16.590577995,0.0
88,a,c,d,b,a,0.0,22.003350328071004,0.0,19.4315201955,0.0,2.5718301325710002,0.0,2.5718301325710002,19.4315201955,2.5718301325710002,19.4315201955,0.0
87,a,c,d,b,a,0.0,24.303015295263904,0.0,21.98836817595,0.0,2.3146471193139004,0.0,2.3146471193139004,21.98836817595,2.3146471193139004,21.98836817595,0.0
86,a,c,d,b,a,0.0,26.372713765737515,0.0,24.289531358355003,0.0,2.0831824073825103,0.0,2.0831824073825103,24.289531358355003,2.0831824073825103,24.289531358355003,0.0
85,a,c,b,d,a,0.0,28.235442389163765,0.0,26.360578222519504,0.0,1.8748641666442594,0.0,1.8748641666442594,26.360578222519504,1.8748641666442594,26.360578222519504,0.0
84,a,c,b,d,a,0.0,26.31189815024739,0.0,23.724520400267554,0.0,2.5873777499798334,0.0,2.5873777499798334,23.724520400267554,2.5873777499798334,23.724520400267554,0.0
83,a,c,b,d,a,0.0,24.580708335222653,0.0,21.3520683602408,0.0,3.22863997498185,0.0,3.22863997498185,21.3520683602408,3.22863997498185,21.3520683602408,0.0
82,a,c,d,b,a,0.0,23.022637501700387,0.0,19.21686152421672,0.0,3.8057759774836653,0.0,3.8057759774836653,19.21686152421672,3.8057759774836653,19.21686152421672,0.0
81,a,c,d,b,a,0.0,25.22037375153035,0.0,21.79517537179505,0.0,3.4251983797352987,0.0,3.4251983797352987,21.79517537179505,3.4251983797352987,21.79517537179505,0.0
80,a,c,b,d,a,0.0,27.198336376377316,0.0,24.115657834615547,0.0,3.082678541761769,0.0,3.082678541761769,24.115657834615547,3.082678541761769,24.115657834615547,0.0
79,a,c,b,d,a,0.0,25.378502738739584,0.0,21.704092051153992,0.0,3.6744106875855924,0.0,3.6744106875855924,21.704092051153992,3.6744106875855924,21.704092051153992,0.0
78,a,c,d,b,a,0.0,23.740652464865626,0.0,19.533682846038595,0.0,4.206969618827033,0.0,4.206969618827033,19.533682846038595,4.206969618827033,19.533682846038595,0.0
77,a,c,b,d,a,0.0,25.866587218379063,0.0,22.080314561434736,0.0,3.78627265694433,0.0,3.78627265694433,22.080314561434736,3.78627265694433,22.080314561434736,0.0
76,a,c,d,b,a,0.0,24.17992849654116,0.0,19.872283105291263,0.0,4.307645391249897,0.0,4.307645391249897,19.872283105291263,4.307645391249897,19.872283105291263,0.0
75,a,c,b,d,a,0.0,26.261935646887043,0.0,22.385054794762137,0.0,3.876880852124908,0.0,3.876880852124908,22.385054794762137,3.876880852124908,22.385054794762137,0.0
74,a,c,b,d,a,0.0,24.53574208219834,0.0,20.146549315285924,0.0,4.389192766912417,0.0,4.389192766912417,20.146549315285924,4.389192766912417,20.146549315285924,0.0
73,a,c,d,b,a,0.0,22.982167873978508,0.0,18.13189438375733,0.0,4.850273490221175,0.0,4.850273490221175,18.13189438375733,4.850273490221175,18.13189438375733,0.0
72,a,c,d,b,a,0.0,25.183951086580656,0.0,20.818704945381597,0.0,4.365246141199058,0.0,4.365246141199058,20.818704945381597,4.365246141199058,20.818704945381597,0.0
71,a,c,d,b,a,0.0,27.16555597792259,0.0,23.23683445084344,0.0,3.9287215270791522,0.0,3.9287215270791522,23.23683445084344,3.9287215270791522,23.23683445084344,0.0
70,a,c,d,b,a,0.0,28.949000380130336,0.0,25.413151005759097,0.0,3.535849374371237,0.0,3.535849374371237,25.413151005759097,3.535849374371237,25.413151005759097,0.0
69,a,c,b,d,a,0.0,30.5541003421173,0.0,27.37183590518319,0.0,3.1822644369341133,0.0,3.1822644369341133,27.37183590518319,3.1822644369341133,27.37183590518319,0.0
68,a,c,d,b,a,0.0,28.39869030790557,0.0,24.634652314664873,0.0,3.7640379932407027,0.0,3.7640379932407027,24.634652314664873,3.7640379932407027,24.634652314664873,0.0
67,a,c,b,d,a,0.0,30.058821277115012,0.0,26.671187083198387,0.0,3.3876341939166323,0.0,3.3876341939166323,26.671187083198387,3.3876341939166323,26.671187083198387,0.0
66,a,c,b,d,a,0.0,27.952939149403512,0.0,24.00406837487855,0.0,3.9488707745249694,0.0,3.9488707745249694,24.00406837487855,3.9488707745249694,24.00406837487855,0.0
65,a,c,d,b,a,0.0,26.057645234463163,0.0,21.603661537390696,0.0,4.453983697072473,0.0,4.453983697072473,21.603661537390696,4.453983697072473,21.603661537390696,0.0
64,a,c,b,d,a,0.0,27.951880711016848,0.0,23.943295383651627,0.0,4.008585327365226,0.0,4.008585327365226,23.943295383651627,4.008585327365226,23.943295383651627,0.0
63,a,c,b,d,a,0.0,26.056692639915163,0.0,21.548965845286464,0.0,4.507726794628703,0.0,4.507726794628703,21.548965845286464,4.507726794628703,21.548965845286464,0.0
62,a,c,d,b,a,0.0,24.351023375923646,0.0,19.394069260757817,0.0,4.956954115165833,0.0,4.956954115165833,19.394069260757817,4.956954115165833,19.394069260757817,0.0
61,a,c,d,b,a,0.0,26.41592103833128,0.0,21.954662334682038,0.0,4.46125870364925,0.0,4.46125870364925,21.954662334682038,4.46125870364925,21.954662334682038,0.0
60,a,c,b,d,a,0.0,28.274328934498154,0.0,24.259196101213835,0.0,4.0151328332843255,0.0,4.0151328332843255,24.259196101213835,4.0151328332843255,24.259196101213835,0.0
59,a,c,b,d,a,0.0,26.34689604104834,0.0,21.83327649109245,0.0,4.513619549955893,0.0,4.513619549955893,21.83327649109245,4.513619549955893,21.83327649109245,0.0
58,a,c,b,d,a,0.0,24.612206436943506,0.0,19.649948841983207,0.0,4.962257594960303,0.0,4.962257594960303,19.649948841983207,4.962257594960303,19.649948841983207,0.0
